circuit_id,forecast_timestamp,forecast_value,step_ahead,generated_at,model_type,model_version,resolution,scope,product
buildingmain,2026-04-13 14:35:00+00:00,35.967847,43,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 14:40:00+00:00,31.71681,44,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 14:45:00+00:00,42.639204,45,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 14:50:00+00:00,31.249879,46,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 14:55:00+00:00,41.409313,47,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:00:00+00:00,55.678408,48,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:05:00+00:00,61.332131,49,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:10:00+00:00,39.421666,50,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:15:00+00:00,40.9438,51,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:20:00+00:00,31.351783,52,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:25:00+00:00,43.32804,53,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:30:00+00:00,53.320511,54,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:35:00+00:00,92.221212,55,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:40:00+00:00,47.233856,56,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:45:00+00:00,20.179021,57,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:50:00+00:00,34.660636,58,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 15:55:00+00:00,30.753784,59,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
buildingmain,2026-04-13 16:00:00+00:00,25.760192,60,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,local,short
